task,choice,bibkey,paper,r,subject
BRET,20,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.25,23101
BRET,10,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.1111111111111111,23102
BRET,63,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,1.7027027027027026,23103
BRET,32,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.47058823529411764,23104
BRET,25,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.3333333333333333,23105
BRET,40,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6666666666666666,23106
BRET,35,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.5384615384615384,23107
BRET,21,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.26582278481012656,23108
BRET,50,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,1,23109
BRET,65,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,1.8571428571428572,23110
BRET,8,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.08695652173913043,23111
BRET,30,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.42857142857142855,23112
BRET,32,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.47058823529411764,23113
BRET,50,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,1,23114
BRET,20,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.25,23115
BRET,11,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.12359550561797752,23116
BRET,10,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.1111111111111111,23117
BRET,40,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6666666666666666,23118
BRET,35,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.5384615384615384,23119
BRET,55,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,1.2222222222222223,23120
BRET,10,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.1111111111111111,23121
BRET,34,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.5151515151515151,23122
BRET,26,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.35135135135135137,23123
BRET,20,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.25,23124
BRET,40,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6666666666666666,23125
BRET,14,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.16279069767441862,23126
BRET,25,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.3333333333333333,23127
BRET,41,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6949152542372882,23128
BRET,14,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.16279069767441862,23129
BRET,100,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,10,23130
BRET,19,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.2345679012345679,23131
BRET,55,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,1.2222222222222223,23132
BRET,63,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,1.7027027027027026,23133
BRET,8,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.08695652173913043,23134
BRET,20,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.25,23135
BRET,40,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6666666666666666,23136
BRET,20,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.25,23137
BRET,39,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.639344262295082,23138
BRET,45,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.8181818181818182,23139
BRET,20,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.25,23140
BRET,30,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.42857142857142855,23141
BRET,40,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6666666666666666,23142
BRET,44,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.7857142857142857,23143
BRET,10,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.1111111111111111,23144
BRET,10,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.1111111111111111,23145
BRET,20,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.25,23146
BRET,30,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.42857142857142855,23147
BRET,32,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.47058823529411764,23148
BRET,28,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.3888888888888889,23149
BRET,30,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.42857142857142855,23150
BRET,25,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.3333333333333333,23151
BRET,40,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6666666666666666,23152
BRET,12,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.13636363636363635,23153
BRET,50,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,1,23154
BRET,20,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.25,23155
BRET,20,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.25,23156
BRET,16,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.19047619047619047,23157
BRET,34,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.5151515151515151,23158
BRET,40,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6666666666666666,23159
BRET,40,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6666666666666666,23160
BRET,49,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.9607843137254902,23161
BRET,33,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.4925373134328358,23162
BRET,14,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.16279069767441862,23163
BRET,15,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.17647058823529413,23164
BRET,24,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.3157894736842105,23165
BRET,20,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.25,23166
BRET,40,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6666666666666666,23167
BRET,40,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6666666666666666,23168
BRET,27,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.3698630136986301,23169
BRET,15,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.17647058823529413,23170
BRET,34,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.5151515151515151,23171
BRET,22,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.28205128205128205,23172
BRET,26,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.35135135135135137,23173
BRET,42,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.7241379310344828,23174
BRET,30,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.42857142857142855,23175
BRET,59,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,1.4390243902439024,23176
BRET,46,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.8518518518518519,23177
BRET,38,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.6129032258064516,23178
BRET,28,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.3888888888888889,23179
BRET,30,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.42857142857142855,23180
BRET,30,Holzmeister2019,Holzmeister and Stefan Working Paper 2019,0.42857142857142855,23181
